CNES - Estabelecimentos por Tipo - Maranhão
Quantidade por Ano/mês compet. e Tipo de Estabelecimento
Período:Ago/2005-Mai/2025
"Ano/mês compet.";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"PRONTO SOCORRO GERAL";"PRONTO SOCORRO ESPECIALIZADO";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"HOSPITAL/DIA - ISOLADO";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"TELESSAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"OFICINA ORTOPEDICA";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"2006/Jul";1079;780;57;213;42;72;5;1;189;243;211;15;4;5;109;5;1;16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3049
"2006/Ago";1081;787;56;214;44;71;5;1;204;250;211;15;5;5;109;5;1;16;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3083
"2006/Set";1097;797;55;218;43;68;5;2;242;253;215;16;6;8;111;5;1;16;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3161
"2006/Out";1102;803;52;214;43;72;5;2;242;251;215;15;7;9;111;5;1;16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3167
"2006/Nov";1062;790;52;210;43;71;4;2;225;244;208;15;6;8;106;6;1;15;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3071
"2006/Dez";1091;806;54;213;44;72;5;2;281;255;215;15;8;9;112;7;1;17;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3210
"2007/Jan";1083;820;54;213;44;72;5;2;282;255;215;15;9;10;112;7;1;17;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3219
"2007/Fev";1068;854;55;212;44;71;6;2;302;257;216;15;9;10;111;7;1;18;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3261
"2007/Mar";1068;858;56;211;44;72;6;2;304;258;217;15;9;10;111;7;1;18;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3271
"2007/Abr";1054;875;55;211;44;73;6;2;304;262;219;14;9;10;111;7;1;17;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3279
"2007/Mai";1043;890;53;210;43;73;6;2;317;272;218;14;9;10;109;8;1;17;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3300
"2007/Jun";1042;895;55;210;43;73;6;2;327;274;219;14;9;10;108;8;1;16;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3317
"2007/Jul";1043;915;54;202;42;70;6;2;333;280;224;13;9;10;106;10;1;16;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3341
"2007/Ago";1033;923;55;203;41;72;6;2;339;285;226;13;9;10;107;12;1;17;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3360
"2007/Set";947;988;55;200;39;71;6;2;337;285;225;12;9;10;106;11;1;17;4;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3330
"2007/Out";905;1010;55;200;41;72;6;2;346;289;225;12;9;10;106;12;1;17;4;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3327
"2007/Nov";880;1033;55;201;40;71;6;2;348;295;225;12;9;10;102;12;1;17;4;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3328
"2007/Dez";880;1030;55;198;40;71;6;2;346;298;226;12;9;10;102;12;1;17;5;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3325
"2008/Jan";886;1032;55;199;40;70;5;2;348;299;230;12;9;10;99;13;1;17;5;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3337
"2008/Fev";883;1040;55;198;40;70;5;2;353;304;233;12;10;10;98;13;1;17;4;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3354
"2008/Mar";890;1050;55;199;37;70;5;1;355;262;231;12;10;10;100;14;1;13;4;1;4;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3379
"2008/Abr";893;1057;55;198;37;70;5;1;360;264;233;12;10;11;100;14;1;13;4;1;4;-;58;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3402
"2008/Mai";893;1066;56;195;37;69;5;3;360;262;232;12;10;11;100;14;1;13;4;2;4;-;60;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3412
"2008/Jun";902;1067;58;194;37;69;5;3;367;274;233;12;10;12;100;14;1;13;4;2;6;-;60;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3450
"2008/Jul";894;1069;58;192;39;70;5;3;365;273;233;10;10;12;100;14;1;13;4;3;6;-;60;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3443
"2008/Ago";889;1075;58;190;38;69;5;3;370;280;230;10;10;12;99;14;1;13;4;3;6;-;60;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3448
"2008/Set";890;1077;58;190;38;70;5;3;371;288;231;10;10;12;99;14;1;13;4;3;6;-;61;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3463
"2008/Out";890;1078;58;189;38;70;5;3;393;291;235;10;10;12;99;14;1;13;4;3;6;-;63;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3494
"2008/Nov";931;1033;59;189;38;70;5;3;394;298;238;10;10;12;98;14;1;13;5;2;6;-;63;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3500
"2008/Dez";987;976;60;188;38;71;5;3;399;298;238;10;11;12;98;14;1;13;5;2;6;-;63;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3506
"2009/Jan";1013;961;60;188;38;71;5;3;401;308;237;10;11;12;98;14;1;13;5;2;6;-;63;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3528
"2009/Fev";1028;962;60;189;38;70;6;3;407;309;237;10;12;13;99;14;1;13;5;2;7;-;63;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3556
"2009/Mar";1033;962;60;187;39;71;6;3;407;312;239;10;12;13;99;14;1;13;5;2;7;-;63;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3566
"2009/Abr";1044;961;60;190;39;71;6;3;408;314;243;10;12;13;98;14;1;13;5;2;7;-;64;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3586
"2009/Mai";1049;958;60;190;39;70;7;3;407;318;242;10;13;13;98;14;1;13;5;2;7;-;66;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3593
"2009/Jun";1037;970;61;190;39;70;7;3;408;319;244;11;13;13;98;14;1;13;5;2;7;-;66;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3601
"2009/Jul";1026;979;62;189;39;70;7;3;412;323;246;12;13;13;98;14;1;13;5;2;7;-;66;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3614
"2009/Ago";1041;986;62;189;38;70;8;3;417;329;248;11;13;13;98;14;1;13;5;2;7;-;67;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3650
"2009/Set";1038;991;63;190;38;70;7;3;419;332;248;11;13;13;98;14;1;13;8;2;11;-;67;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3665
"2009/Out";1013;1015;63;190;39;69;6;3;418;336;247;11;13;13;95;14;1;13;8;2;16;-;67;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3667
"2009/Nov";1004;1009;63;190;39;68;6;3;425;335;246;11;12;13;93;14;1;13;8;2;19;-;65;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3657
"2009/Dez";1012;1026;63;191;39;68;6;3;427;343;250;11;13;13;98;14;1;13;8;2;23;-;66;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3706
"2010/Jan";1037;1034;65;191;39;70;6;3;431;362;254;13;13;13;110;14;1;13;8;2;25;-;66;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3786
"2010/Fev";1005;1032;65;191;38;71;7;3;432;349;250;11;13;13;112;13;1;11;7;2;27;-;65;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3733
"2010/Mar";1003;1037;65;189;38;71;7;3;435;351;249;10;13;13;116;13;1;11;7;2;28;-;66;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3744
"2010/Abr";996;1043;65;188;38;72;7;3;427;356;253;10;13;13;116;13;1;11;7;2;32;-;66;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3748
"2010/Mai";996;1049;65;187;38;70;7;3;430;367;254;10;13;14;122;13;1;11;7;2;37;-;65;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3778
"2010/Jun";996;1052;65;187;39;69;7;3;434;369;255;10;13;14;125;13;1;11;7;2;39;-;65;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3793
"2010/Jul";994;1054;66;189;39;69;7;4;434;375;262;11;13;14;127;13;1;11;7;2;43;-;67;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3819
"2010/Ago";990;1059;66;189;39;68;7;3;435;383;265;11;13;14;130;13;1;11;7;2;49;-;67;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3839
"2010/Set";996;1065;66;190;39;68;7;3;438;383;270;11;13;16;131;13;1;10;7;2;51;-;67;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3867
"2010/Out";993;1068;67;190;40;68;7;3;443;386;271;11;13;16;131;13;1;9;7;2;53;-;67;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3877
"2010/Nov";993;1070;67;188;39;68;7;3;447;394;269;11;13;16;131;13;1;8;7;2;56;-;67;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3888
"2010/Dez";983;1074;68;187;39;68;7;3;447;396;268;11;13;16;132;13;1;8;7;2;60;-;67;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3888
"2011/Jan";983;1078;69;186;38;68;7;3;453;395;269;11;13;16;132;13;1;8;7;2;60;-;67;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3897
"2011/Fev";986;1080;71;186;38;68;7;3;454;402;273;11;13;16;132;13;1;8;7;2;61;-;67;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3917
"2011/Mar";982;1086;71;186;38;68;7;3;459;407;273;11;13;16;133;13;1;8;7;2;62;-;67;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3931
"2011/Abr";995;1075;70;173;37;67;7;3;456;401;277;11;13;17;138;13;1;6;7;2;69;-;67;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3924
"2011/Mai";990;1078;72;169;36;67;10;3;457;398;282;10;13;15;141;14;1;6;7;2;73;-;67;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3932
"2011/Jun";990;1082;71;168;36;67;10;3;456;399;284;10;13;15;141;14;1;6;7;2;74;-;67;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3937
"2011/Jul";987;1093;71;169;35;67;10;4;460;402;285;12;13;15;149;14;1;6;7;2;77;-;65;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3965
"2011/Ago";987;1098;73;168;34;67;10;5;464;406;287;11;13;15;150;14;1;6;6;2;80;-;65;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3983
"2011/Set";986;1098;73;168;34;67;10;6;467;411;286;12;13;15;154;14;1;6;6;2;83;-;65;23;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4002
"2011/Out";987;1104;72;168;33;66;9;6;468;414;289;12;13;15;157;14;1;6;6;2;86;-;66;24;-;1;5;-;-;-;-;-;-;-;-;-;-;-;4024
"2011/Nov";985;1106;72;169;33;66;9;6;469;416;290;12;13;16;159;14;1;6;6;2;89;-;66;22;-;1;5;-;-;-;-;-;-;-;-;-;-;-;4033
"2011/Dez";990;1107;72;168;34;66;9;11;472;417;289;12;13;17;160;14;1;6;6;2;88;-;66;22;-;1;5;-;-;-;-;-;-;-;-;-;-;-;4048
"2012/Jan";987;1110;72;167;34;66;9;11;478;422;292;14;16;17;161;14;1;6;5;3;88;-;67;24;-;1;5;-;8;-;-;-;-;-;-;-;-;-;4078
"2012/Fev";988;1127;67;170;33;66;9;11;483;426;292;14;40;17;161;14;1;6;5;3;88;-;67;25;-;1;5;-;10;-;-;-;-;-;-;-;-;-;4129
"2012/Mar";913;1205;69;170;33;66;9;12;482;434;293;14;49;17;161;14;1;6;5;3;89;-;70;25;-;1;5;-;11;-;-;-;-;-;-;-;-;-;4157
"2012/Abr";829;1294;69;171;33;66;9;12;484;440;293;13;64;17;162;14;1;6;5;3;88;-;71;25;-;1;5;-;11;-;-;-;-;-;-;-;-;-;4186
"2012/Mai";805;1329;69;171;33;66;9;12;484;444;294;13;67;17;169;14;1;6;5;3;89;-;73;26;-;1;5;-;11;-;-;-;-;-;-;-;-;-;4216
"2012/Jun";781;1360;70;171;33;67;8;12;487;448;296;13;67;17;168;13;1;6;5;3;90;-;73;27;-;1;5;1;11;-;-;-;-;-;-;-;-;-;4234
"2012/Jul";769;1369;68;174;33;67;8;13;482;445;298;11;69;18;170;13;1;5;5;3;91;-;74;27;-;1;5;1;11;-;-;-;-;-;-;-;-;-;4231
"2012/Ago";749;1386;68;175;32;67;7;13;483;452;300;11;74;18;170;13;1;5;5;3;92;-;74;27;-;1;5;1;11;-;-;-;-;-;-;-;-;-;4243
"2012/Set";750;1387;68;175;32;67;7;13;486;452;301;11;85;18;170;13;1;5;5;3;92;-;75;27;-;1;5;1;11;-;-;-;-;-;-;-;-;-;4261
"2012/Out";742;1400;70;176;31;67;7;13;508;365;365;11;85;18;170;13;1;5;5;3;95;-;76;27;-;1;5;2;11;-;-;-;-;-;-;-;-;-;4272
"2012/Nov";740;1405;70;176;30;67;7;13;507;368;367;11;91;19;170;13;1;5;5;3;97;-;76;27;-;1;5;2;11;-;-;-;-;-;-;-;-;-;4287
"2012/Dez";741;1404;70;176;30;67;7;13;507;369;367;11;91;19;172;13;1;5;5;3;96;-;76;27;-;1;5;2;10;-;-;-;-;2;-;-;-;-;4290
"2013/Jan";755;1392;70;175;30;67;7;13;507;374;367;11;91;19;173;12;1;5;5;3;97;-;76;28;-;1;5;2;10;-;-;-;-;1;-;-;-;-;4297
"2013/Fev";717;1441;70;175;30;67;7;13;506;374;369;11;92;19;174;12;1;5;5;3;102;-;76;28;-;1;5;2;10;-;-;-;-;1;-;-;-;-;4316
"2013/Mar";705;1457;70;176;29;67;7;13;504;378;375;12;93;19;175;11;1;4;5;3;104;-;76;28;1;1;5;2;10;-;-;-;-;1;-;-;-;-;4332
"2013/Abr";713;1453;71;177;29;68;7;13;503;380;379;12;98;19;175;11;1;4;5;3;105;-;76;29;1;1;5;2;10;-;-;-;-;1;-;-;-;-;4351
"2013/Mai";716;1460;73;177;29;68;7;13;503;381;381;12;96;19;176;11;1;4;5;3;106;-;76;29;1;1;5;2;10;-;-;-;-;1;-;-;-;-;4366
"2013/Jun";705;1477;72;176;29;68;7;14;511;389;382;12;99;20;177;11;1;4;5;3;109;-;76;29;1;1;7;2;10;-;-;-;-;1;-;-;-;-;4398
"2013/Jul";702;1487;76;176;29;67;8;14;511;393;383;12;101;20;178;11;1;4;5;3;110;-;76;29;1;1;8;2;10;-;-;-;-;1;-;-;-;-;4419
"2013/Ago";709;1504;75;179;29;66;7;4;511;397;395;12;101;21;180;11;1;4;5;3;112;-;76;29;8;11;10;3;10;-;-;-;-;2;-;-;-;-;4475
"2013/Set";708;1507;78;181;29;66;6;4;514;399;397;12;101;21;180;10;1;4;5;3;112;-;76;30;9;11;11;3;10;-;-;-;-;2;-;-;-;-;4490
"2013/Out";713;1512;83;181;29;66;6;4;514;402;400;11;103;21;180;10;1;4;4;2;113;-;76;31;9;11;11;3;10;-;-;-;1;3;-;-;-;-;4514
"2013/Nov";706;1526;84;183;29;66;6;4;515;408;401;11;104;22;179;10;1;4;4;2;116;-;76;32;10;11;11;3;10;-;-;-;1;4;-;-;-;-;4539
"2013/Dez";711;1537;85;186;29;65;6;4;518;414;402;12;103;22;180;10;1;4;4;2;116;-;76;34;11;11;11;3;10;-;-;-;1;4;-;-;-;-;4572
"2014/Jan";704;1551;86;186;29;66;6;4;519;420;403;12;104;23;182;10;1;4;5;1;117;-;77;34;11;11;12;3;10;-;-;-;3;4;-;-;-;-;4598
"2014/Fev";703;1553;86;186;28;64;6;4;520;422;402;12;104;23;182;10;1;4;5;1;117;-;77;35;11;11;13;3;10;-;-;-;3;4;-;-;-;-;4600
"2014/Mar";699;1559;87;187;28;64;6;4;524;424;402;12;104;23;183;9;1;4;4;1;117;-;77;37;11;11;13;3;10;-;-;-;3;5;-;-;-;-;4612
"2014/Abr";699;1563;88;189;28;63;6;4;523;428;405;12;104;24;185;9;1;5;4;1;121;-;77;38;11;11;15;3;10;-;-;-;3;4;-;-;-;-;4634
"2014/Mai";708;1554;88;193;28;64;6;4;525;433;406;12;109;27;184;9;1;5;4;1;134;-;77;42;11;11;15;3;10;-;-;-;3;4;-;-;-;-;4671
"2014/Jun";706;1561;89;193;28;64;6;4;526;437;408;12;115;27;184;9;1;5;4;1;137;-;77;43;14;11;15;3;10;-;-;-;3;4;-;-;-;-;4697
"2014/Jul";706;1564;91;196;28;64;6;3;527;448;412;12;115;28;184;9;1;5;4;1;142;-;79;43;14;11;16;3;10;-;-;-;4;6;-;-;-;-;4732
"2014/Ago";701;1574;91;196;27;62;6;3;532;452;413;12;115;29;184;9;1;5;2;1;145;-;82;43;14;11;18;3;10;-;-;-;4;8;-;-;-;-;4753
"2014/Set";700;1580;92;203;27;60;6;3;534;459;412;12;114;30;185;9;1;5;2;1;146;-;83;42;15;11;20;2;10;-;-;-;4;8;-;-;-;-;4776
"2014/Out";691;1591;92;205;27;58;5;3;537;462;415;12;124;30;185;9;1;5;2;1;148;-;84;42;15;12;20;3;10;-;-;-;4;8;1;-;-;-;4802
"2014/Nov";688;1599;92;208;27;57;5;3;539;465;417;12;128;30;185;9;1;5;2;1;149;-;84;43;15;12;26;2;10;-;-;-;4;8;-;-;-;-;4826
"2014/Dez";687;1601;92;208;28;57;5;4;540;467;417;12;128;30;185;9;1;5;2;1;150;-;84;43;15;11;26;2;10;-;-;-;4;9;-;-;-;-;4833
"2015/Jan";636;1596;93;207;27;57;5;4;525;467;400;9;130;27;178;9;1;5;2;1;150;-;86;44;13;11;26;3;10;1;-;-;5;8;-;-;-;-;4736
"2015/Fev";634;1600;93;207;27;57;5;4;524;472;403;9;130;28;178;9;1;5;2;1;152;-;88;46;13;11;27;4;10;1;-;-;5;7;-;-;-;-;4753
"2015/Mar";637;1613;95;206;27;56;5;4;524;479;405;9;130;28;180;9;1;5;2;1;152;-;87;48;21;11;29;4;10;2;-;-;5;7;1;-;-;-;4793
"2015/Abr";637;1617;97;204;28;57;5;4;526;482;406;9;130;28;182;9;1;5;3;1;153;-;87;50;22;11;29;4;10;2;-;-;5;7;1;-;-;-;4812
"2015/Mai";635;1617;98;204;28;57;5;4;528;485;408;9;130;29;182;9;1;5;3;1;157;-;87;50;22;12;32;4;10;3;-;-;5;7;3;-;-;-;4830
"2015/Jun";635;1623;98;205;29;56;5;4;530;490;410;8;131;28;183;9;1;5;3;1;156;-;86;51;22;12;32;4;10;3;-;-;5;8;3;-;-;-;4846
"2015/Jul";636;1620;98;209;29;51;3;4;532;501;414;8;130;35;187;9;1;5;3;1;159;1;86;51;22;14;32;4;10;4;-;-;5;8;3;-;-;-;4875
"2015/Ago";638;1614;99;209;29;52;3;4;532;507;414;8;131;36;188;9;1;5;3;1;159;1;86;51;25;14;34;4;10;4;-;-;5;8;3;-;-;-;4887
"2015/Set";642;1619;99;210;30;52;3;4;534;519;419;8;132;37;189;9;1;5;3;-;161;1;87;52;30;13;37;4;10;4;-;-;6;7;3;-;-;-;4930
"2015/Out";644;1628;98;210;30;52;3;5;535;519;422;10;132;38;189;9;1;5;3;-;162;1;88;52;31;13;38;4;10;4;-;-;6;7;3;-;-;-;4952
"2015/Nov";630;1635;100;210;30;52;3;5;539;532;425;12;132;39;192;2;1;5;3;-;163;1;89;53;34;13;40;4;10;4;-;-;6;7;4;-;-;-;4975
"2015/Dez";623;1640;101;212;30;52;3;5;542;532;425;14;132;39;192;2;1;5;3;-;165;1;89;51;34;13;40;4;10;4;1;-;6;7;4;-;-;-;4982
"2016/Jan";615;1646;102;214;30;51;2;5;543;533;427;14;132;39;180;2;1;5;3;-;181;1;89;50;34;13;42;4;10;5;1;-;6;7;4;-;-;-;4991
"2016/Fev";614;1651;102;215;30;50;2;5;545;549;430;14;131;40;181;2;1;5;3;-;186;1;91;50;34;13;43;4;10;5;1;-;6;7;4;-;-;-;5025
"2016/Mar";602;1661;102;215;30;50;2;5;539;559;428;14;130;41;180;2;1;5;3;-;190;1;90;49;34;13;45;4;10;5;1;-;7;7;4;-;-;-;5029
"2016/Abr";597;1664;107;215;30;50;2;5;538;562;430;14;130;40;180;2;1;6;3;-;190;1;90;49;33;13;45;4;10;5;1;-;7;8;4;-;-;-;5036
"2016/Mai";601;1662;107;216;30;50;2;5;540;568;432;14;128;42;179;2;1;6;3;-;192;1;90;49;33;14;45;4;10;5;1;-;7;8;4;-;-;-;5051
"2016/Jun";586;1672;107;216;30;50;2;5;542;571;432;14;128;42;180;2;1;6;3;-;192;1;90;49;33;15;48;4;10;5;1;-;7;8;3;-;-;-;5055
"2016/Jul";581;1681;109;215;30;51;2;5;542;583;432;14;129;42;181;2;2;6;3;-;192;1;90;49;33;16;48;4;10;5;1;-;7;8;2;-;-;-;5076
"2016/Ago";576;1685;109;217;30;51;2;5;543;586;434;14;129;42;183;2;2;6;3;-;191;1;90;49;33;16;49;4;11;6;1;-;7;8;1;-;-;-;5086
"2016/Set";578;1685;111;216;30;51;2;6;545;595;435;14;131;42;183;2;2;6;3;-;191;1;89;49;33;16;50;4;11;7;1;-;7;8;1;-;-;-;5105
"2016/Out";575;1689;112;216;30;50;2;6;549;596;436;14;131;42;182;2;2;6;3;-;193;1;90;50;33;17;51;4;11;7;1;-;7;8;1;-;-;-;5117
"2016/Nov";574;1690;113;218;30;49;2;6;550;602;436;15;131;42;183;2;2;6;3;-;193;1;90;49;33;16;51;4;11;7;-;-;7;8;1;3;-;-;5128
