CNES - Equipes de Saúde - Maranhão
Quantidade por Município e Ano/mês compet.
Período:Dez/2024
"Município";"2024/Dez";"Total"
"210923 PRESIDENTE MEDICI";8;8
"210927 PRESIDENTE SARNEY";20;20
"210930 PRESIDENTE VARGAS";13;13
"210940 PRIMEIRA CRUZ";17;17
"210945 RAPOSA";24;24
"210950 RIACHAO";19;19
"210955 RIBAMAR FIQUENE";9;9
"210960 ROSARIO";43;43
"210970 SAMBAIBA";9;9
"210975 SANTA FILOMENA DO MARANHAO";8;8
"210980 SANTA HELENA";31;31
"210990 SANTA INES";80;80
"211000 SANTA LUZIA";50;50
"211003 SANTA LUZIA DO PARUA";23;23
"211010 SANTA QUITERIA DO MARANHAO";28;28
"211020 SANTA RITA";37;37
"211023 SANTANA DO MARANHAO";13;13
"211027 SANTO AMARO DO MARANHAO";17;17
"211030 SANTO ANTONIO DOS LOPES";15;15
"211040 SAO BENEDITO DO RIO PRETO";20;20
"211050 SAO BENTO";30;30
"211060 SAO BERNARDO";26;26
"211065 SAO DOMINGOS DO AZEITAO";10;10
"211070 SAO DOMINGOS DO MARANHAO";39;39
"211080 SAO FELIX DE BALSAS";7;7
"211085 SAO FRANCISCO DO BREJAO";7;7
"211090 SAO FRANCISCO DO MARANHAO";14;14
"211100 SAO JOAO BATISTA";16;16
"211102 SAO JOAO DO CARU";16;16
"211105 SAO JOAO DO PARAISO";12;12
"211107 SAO JOAO DO SOTER";21;21
"211110 SAO JOAO DOS PATOS";25;25
"211120 SAO JOSE DE RIBAMAR";114;114
"211125 SAO JOSE DOS BASILIOS";9;9
"211130 SAO LUIS";289;289
"211140 SAO LUIS GONZAGA DO MARANHAO";19;19
"211150 SAO MATEUS DO MARANHAO";39;39
"211153 SAO PEDRO DA AGUA BRANCA";9;9
"211157 SAO PEDRO DOS CRENTES";6;6
"211160 SAO RAIMUNDO DAS MANGABEIRAS";22;22
"211163 SAO RAIMUNDO DO DOCA BEZERRA";7;7
"211167 SAO ROBERTO";7;7
"211170 SAO VICENTE FERRER";23;23
"211172 SATUBINHA";13;13
"211174 SENADOR ALEXANDRE COSTA";11;11
"211176 SENADOR LA ROCQUE";18;18
"211178 SERRANO DO MARANHAO";11;11
"211180 SITIO NOVO";19;19
"211190 SUCUPIRA DO NORTE";15;15
"211195 SUCUPIRA DO RIACHAO";5;5
"211200 TASSO FRAGOSO";9;9
"211210 TIMBIRAS";18;18
"211220 TIMON";122;122
"211223 TRIZIDELA DO VALE";22;22
"211227 TUFILANDIA";7;7
"211230 TUNTUM";46;46
"211240 TURIACU";13;13
"211245 TURILANDIA";30;30
"211250 TUTOIA";44;44
"211260 URBANO SANTOS";21;21
"211270 VARGEM GRANDE";29;29
"211280 VIANA";31;31
"211285 VILA NOVA DOS MARTIRIOS";11;11
"211290 VITORIA DO MEARIM";31;31
"211300 VITORINO FREIRE";34;34
"211400 ZE DOCA";54;54
"Total";5397;5397
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
