CNES - Estabelecimentos por Tipo - Maranhão
Quantidade por Município e Tipo de Estabelecimento
Período:Mai/2025
"Município";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"PRONTO SOCORRO GERAL";"PRONTO SOCORRO ESPECIALIZADO";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"HOSPITAL/DIA - ISOLADO";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"TELESSAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"OFICINA ORTOPEDICA";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"210087 ARAGUANA";-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"210090 ARAIOSES";-;16;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"210095 ARAME";2;10;-;1;-;-;-;-;-;1;1;1;-;-;1;-;-;-;1;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;1;-;24
"210100 ARARI";-;13;-;1;-;-;-;-;-;3;-;-;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"210110 AXIXA";-;12;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"210120 BACABAL";1;23;3;4;-;-;-;-;10;26;7;-;7;2;1;-;-;-;1;1;2;-;-;-;1;1;1;-;-;-;1;1;-;1;2;1;97
"210125 BACABEIRA";4;10;-;1;-;-;-;-;1;1;-;1;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;24
"210130 BACURI";2;6;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"210135 BACURITUBA";-;4;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"210140 BALSAS";5;33;72;3;-;-;-;-;9;14;19;-;5;7;1;-;-;-;2;1;1;-;-;1;1;-;-;-;-;-;-;-;-;2;2;-;178
"210150 BARAO DE GRAJAU";2;10;-;1;-;-;-;-;-;4;2;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"210160 BARRA DO CORDA";-;26;2;4;1;-;-;-;9;12;7;1;4;3;-;-;-;-;1;1;1;-;15;1;1;-;-;-;-;-;1;-;-;-;2;-;92
"210170 BARREIRINHAS";-;22;1;1;-;-;-;-;1;12;2;-;-;1;2;-;-;-;1;-;1;3;-;-;1;-;-;-;-;-;1;-;-;-;-;1;50
"210173 BELAGUA";-;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"210177 BELA VISTA DO MARANHAO";2;8;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"210180 BENEDITO LEITE";-;3;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"210190 BEQUIMAO";1;9;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"210193 BERNARDO DO MEARIM";4;4;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"210197 BOA VISTA DO GURUPI";1;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"210200 BOM JARDIM";1;20;-;1;-;-;-;-;-;1;-;-;1;1;2;-;-;-;1;-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"210203 BOM JESUS DAS SELVAS";2;10;-;1;-;-;-;-;-;1;1;-;-;1;3;-;-;-;1;-;-;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;25
"210207 BOM LUGAR";-;9;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"210210 BREJO";-;14;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;20
"210215 BREJO DE AREIA";1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"210220 BURITI";6;10;-;1;-;-;-;-;-;1;1;1;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"210230 BURITI BRAVO";-;11;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"210232 BURITICUPU";25;-;2;1;-;-;-;-;3;6;4;-;3;2;3;-;1;-;1;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;55
"210235 BURITIRANA";-;6;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"210237 CACHOEIRA GRANDE";-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"210240 CAJAPIO";-;4;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"210250 CAJARI";-;6;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"210255 CAMPESTRE DO MARANHAO";-;5;2;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;15
"210260 CANDIDO MENDES";3;6;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"210270 CANTANHEDE";1;8;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"210275 CAPINZAL DO NORTE";-;6;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210280 CAROLINA";2;9;-;1;-;-;-;-;1;2;1;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"210290 CARUTAPERA";-;9;-;1;-;-;-;-;-;2;3;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;22
"210300 CAXIAS";-;39;4;2;3;-;-;-;3;50;15;-;10;7;5;-;-;-;1;1;5;-;-;1;-;-;1;-;-;-;-;2;-;1;2;-;152
"210310 CEDRAL";-;7;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210312 CENTRAL DO MARANHAO";-;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"210315 CENTRO DO GUILHERME";-;6;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210317 CENTRO NOVO DO MARANHAO";2;7;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"210320 CHAPADINHA";-;28;1;3;-;-;-;-;17;9;6;1;1;1;-;-;-;-;1;1;1;-;-;1;2;-;-;-;-;-;1;1;-;-;1;1;77
"210325 CIDELANDIA";8;7;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;24
"210330 CODO";-;23;1;1;-;-;-;-;4;17;10;-;5;1;-;-;-;-;1;1;1;-;-;1;2;-;1;-;-;-;-;-;-;-;1;-;70
"210340 COELHO NETO";-;12;-;2;-;-;-;-;1;11;-;1;1;1;2;-;-;-;1;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;37
"210350 COLINAS";9;20;-;2;1;-;-;-;1;7;5;-;2;1;1;-;-;-;1;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;55
"210355 CONCEICAO DO LAGO-ACU";-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"210360 COROATA";-;18;-;1;-;-;-;-;3;10;5;-;5;2;-;-;-;-;1;-;1;-;-;1;1;-;1;-;-;-;-;-;-;2;1;-;52
"210370 CURURUPU";11;13;-;1;-;-;1;-;-;3;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;34
"210375 DAVINOPOLIS";-;7;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"210380 DOM PEDRO";-;9;-;1;-;-;-;-;-;2;2;-;1;1;-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20
"210390 DUQUE BACELAR";2;5;-;1;-;-;-;-;-;3;-;-;1;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"210400 ESPERANTINOPOLIS";2;10;-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"210405 ESTREITO";-;10;-;2;-;-;-;-;3;6;5;-;1;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;32
"210407 FEIRA NOVA DO MARANHAO";1;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"210408 FERNANDO FALCAO";-;4;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"210409 FORMOSA DA SERRA NEGRA";2;10;-;-;-;1;-;-;-;4;1;1;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"210410 FORTALEZA DOS NOGUEIRAS";1;6;-;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"210420 FORTUNA";2;8;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"210430 GODOFREDO VIANA";-;5;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"210440 GONCALVES DIAS";-;9;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"210450 GOVERNADOR ARCHER";6;5;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"210455 GOVERNADOR EDISON LOBAO";-;8;-;1;-;-;-;-;1;1;-;-;-;2;3;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;20
"210460 GOVERNADOR EUGENIO BARROS";1;8;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;16
"210462 GOVERNADOR LUIZ ROCHA";-;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"210465 GOVERNADOR NEWTON BELLO";-;6;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"210467 GOVERNADOR NUNES FREIRE";1;13;-;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;22
"210470 GRACA ARANHA";3;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"210480 GRAJAU";1;22;-;3;1;-;-;-;1;13;-;1;4;1;2;-;-;-;1;-;1;-;5;1;1;-;-;-;-;-;1;-;-;-;-;-;59
"210490 GUIMARAES";10;8;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"210500 HUMBERTO DE CAMPOS";4;16;-;1;-;-;-;-;-;2;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"210510 ICATU";-;14;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;22
"210515 IGARAPE DO MEIO";5;9;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"210520 IGARAPE GRANDE";-;5;-;-;-;1;-;-;1;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;13
"210530 IMPERATRIZ";5;38;7;9;1;-;-;-;100;225;82;1;11;17;7;68;-;1;2;1;3;1;1;2;5;-;1;2;-;-;1;2;-;1;2;4;600
"210535 ITAIPAVA DO GRAJAU";-;10;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;16
"210540 ITAPECURU MIRIM";3;21;-;1;-;-;-;-;2;11;8;-;-;2;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;54
"210542 ITINGA DO MARANHAO";-;9;-;1;-;-;-;-;-;-;1;-;1;1;2;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"210545 JATOBA";2;5;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210547 JENIPAPO DOS VIEIRAS";-;14;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;8;-;1;-;-;-;-;-;-;-;-;-;1;-;29
"210550 JOAO LISBOA";-;9;-;2;-;-;-;-;-;13;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"210560 JOSELANDIA";2;11;-;1;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"210565 JUNCO DO MARANHAO";2;3;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"210570 LAGO DA PEDRA";-;18;-;4;-;-;-;-;-;13;-;-;-;1;1;-;-;-;1;1;1;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;46
"210580 LAGO DO JUNCO";2;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"210590 LAGO VERDE";9;1;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"210592 LAGOA DO MATO";1;5;-;-;-;2;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"210594 LAGO DOS RODRIGUES";-;6;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"210596 LAGOA GRANDE DO MARANHAO";-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;10
"210598 LAJEADO NOVO";-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"210600 LIMA CAMPOS";8;6;-;1;-;-;-;-;-;3;-;-;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;23
"210610 LORETO";-;7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"210620 LUIS DOMINGUES";3;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"210630 MAGALHAES DE ALMEIDA";-;7;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"210632 MARACACUME";-;9;-;1;-;-;-;-;2;2;1;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"210635 MARAJA DO SENA";1;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"210637 MARANHAOZINHO";-;5;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210640 MATA ROMA";8;8;1;1;-;-;-;-;1;3;1;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;-;28
"210650 MATINHA";-;12;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"210660 MATOES";3;8;1;1;-;-;-;-;1;3;1;-;1;-;2;-;-;-;1;-;1;1;-;-;1;-;-;1;-;-;1;-;-;-;1;-;28
"210663 MATOES DO NORTE";1;6;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210667 MILAGRES DO MARANHAO";-;5;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"210670 MIRADOR";-;11;-;1;-;1;-;-;-;-;-;-;-;1;1;1;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"210675 MIRANDA DO NORTE";-;9;-;1;-;-;-;-;1;1;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"210680 MIRINZAL";-;7;-;1;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;14
"210690 MONCAO";4;10;-;1;-;1;-;-;-;1;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"210700 MONTES ALTOS";-;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"210710 MORROS";-;11;-;2;-;-;-;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;19
"210720 NINA RODRIGUES";-;7;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"210725 NOVA COLINAS";3;1;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"210730 NOVA IORQUE";-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"210735 NOVA OLINDA DO MARANHAO";-;7;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210740 OLHO D'AGUA DAS CUNHAS";-;10;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"210745 OLINDA NOVA DO MARANHAO";5;7;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;18
"210750 PACO DO LUMIAR";-;18;-;-;1;-;-;1;4;17;5;-;2;2;4;-;-;-;1;1;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;60
"210760 PALMEIRANDIA";6;12;-;1;-;-;-;-;1;-;1;1;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"210770 PARAIBANO";5;10;-;1;-;-;-;-;-;-;2;1;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"210780 PARNARAMA";-;13;1;1;-;-;-;-;-;5;-;1;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;26
"210790 PASSAGEM FRANCA";-;9;-;2;-;-;-;-;-;2;3;1;-;1;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;22
"210800 PASTOS BONS";1;14;-;1;-;1;-;-;-;3;3;-;2;1;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;30
"210805 PAULINO NEVES";-;8;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;13
