CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Maranhão
Quantidade por Ano/mês compet. e Ocupações de Nível Superior
Período:Ago/2007-Mai/2025
"Ano/mês compet.";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"2009/Abr";152;387;864;426;839;2985;471;136;137;950;139;1673;214;269;41;93;7;666;391;10840
"2009/Mai";153;395;877;431;843;3014;476;141;137;944;147;1668;218;275;40;96;7;669;393;10924
"2009/Jun";156;397;889;442;848;3017;478;150;137;937;152;1679;220;278;38;100;7;675;404;11004
"2009/Jul";151;402;897;446;860;3080;482;154;140;943;161;1691;225;278;39;98;7;678;419;11151
"2009/Ago";149;404;898;452;872;3146;497;164;141;949;166;1707;230;286;41;96;6;688;418;11310
"2009/Set";149;407;901;445;880;3175;508;167;143;949;171;1715;233;290;39;100;7;685;413;11377
"2009/Out";145;418;903;453;903;3195;517;169;142;925;176;1712;240;298;40;100;7;683;426;11452
"2009/Nov";146;418;900;460;918;3206;517;169;146;908;180;1705;240;302;39;99;7;692;430;11482
"2009/Dez";148;420;910;460;918;3255;527;175;143;927;180;1725;239;309;37;97;7;694;439;11610
"2010/Jan";147;422;921;470;918;3276;550;183;149;919;192;1739;237;312;37;97;7;702;450;11728
"2010/Fev";149;424;935;463;911;3310;554;180;151;944;195;1746;233;316;36;96;6;705;457;11811
"2010/Mar";149;430;945;467;899;3347;564;185;147;954;202;1748;236;325;37;99;6;707;467;11914
"2010/Abr";151;433;955;475;905;3385;575;190;147;938;210;1749;234;325;39;97;5;722;486;12021
"2010/Mai";151;435;961;470;901;3437;582;191;149;953;214;1767;235;329;39;95;6;718;492;12125
"2010/Jun";153;432;960;466;893;3444;584;198;150;955;216;1777;228;331;40;94;6;722;500;12149
"2010/Jul";150;440;968;465;901;3474;597;201;150;973;223;1783;230;335;38;94;6;723;505;12256
"2010/Ago";150;447;973;464;914;3502;600;205;150;964;227;1800;236;334;38;94;6;721;510;12335
"2010/Set";149;453;967;460;909;3539;610;208;153;975;229;1794;232;343;38;95;6;722;520;12402
"2010/Out";150;453;972;460;909;3548;611;209;150;982;230;1820;228;349;38;94;6;720;519;12448
"2010/Nov";150;453;973;458;901;3547;620;211;146;985;230;1827;229;351;40;94;6;720;519;12460
"2010/Dez";150;453;976;460;910;3541;627;215;151;982;231;1827;227;348;38;93;6;725;516;12476
"2011/Jan";150;457;978;455;902;3560;629;215;151;995;232;1834;227;348;40;95;5;727;515;12515
"2011/Fev";149;458;981;453;885;3582;632;219;154;993;232;1841;230;349;40;98;4;727;514;12541
"2011/Mar";147;458;979;448;884;3614;649;223;156;990;236;1854;233;349;43;102;4;727;514;12610
"2011/Abr";140;460;969;421;837;3602;639;224;158;1029;237;1851;231;350;41;105;4;737;513;12548
"2011/Mai";137;460;973;403;836;3601;644;228;150;1034;249;1849;232;356;39;107;4;740;525;12567
"2011/Jun";134;463;973;389;845;3609;635;226;153;1037;250;1852;233;358;39;112;4;740;522;12574
"2011/Jul";134;467;973;389;850;3630;640;228;151;1042;248;1861;238;359;40;114;4;749;529;12646
"2011/Ago";-;470;989;99;1013;3716;642;230;157;1005;254;1861;428;367;50;94;10;814;529;12728
"2011/Set";-;481;1001;99;1055;3783;667;232;159;983;260;1868;431;376;50;94;10;812;540;12901
"2011/Out";-;489;1004;100;1061;3825;680;237;158;975;260;1874;433;380;52;96;10;816;548;12998
"2011/Nov";-;494;1004;101;1058;3850;697;236;158;976;266;1878;428;380;49;96;10;825;548;13054
"2011/Dez";-;510;1008;99;1083;3879;701;233;162;955;268;1884;430;379;49;97;10;827;558;13132
"2012/Jan";-;522;1028;99;1121;3932;714;233;165;957;273;1906;433;386;50;99;8;831;561;13318
"2012/Fev";-;531;1035;101;1137;4006;727;238;168;941;278;1918;436;391;52;103;8;829;562;13461
"2012/Mar";-;545;1040;98;1181;4091;748;241;171;910;284;1923;444;403;52;103;8;844;572;13658
"2012/Abr";-;557;1045;96;1202;4150;758;245;173;890;291;1914;445;406;53;104;8;842;578;13757
"2012/Mai";-;560;1049;100;1215;4210;767;248;177;887;293;1925;448;412;53;106;7;840;577;13874
"2012/Jun";-;564;1051;102;1220;4258;771;250;179;878;295;1929;445;416;53;105;7;851;586;13960
"2012/Jul";-;566;1057;103;1234;4312;780;246;181;882;300;1938;448;418;51;106;7;844;591;14064
"2012/Ago";-;568;1060;102;1234;4327;791;247;186;904;300;1937;440;420;56;107;7;851;591;14128
"2012/Set";-;569;1059;103;1234;4346;792;250;189;911;301;1931;438;419;55;107;7;853;589;14153
"2012/Out";-;570;1059;105;1229;4349;803;249;189;914;299;1933;436;415;55;107;7;847;589;14155
"2012/Nov";-;574;1063;107;1225;4360;807;248;197;897;298;1922;438;414;54;107;7;855;589;14162
"2012/Dez";-;577;1059;104;1230;4330;807;248;198;880;297;1893;438;413;53;109;7;861;587;14091
"2013/Jan";-;581;1061;108;1211;4350;809;250;197;889;297;1884;438;411;54;108;7;866;591;14112
"2013/Fev";-;588;1072;114;1251;4388;815;255;192;879;302;1907;447;415;55;111;8;865;598;14262
"2013/Mar";-;588;1076;112;1256;4432;810;256;185;921;311;1912;448;422;58;114;5;855;583;14344
"2013/Abr";-;596;1083;112;1271;4490;829;261;188;913;315;1908;447;422;59;114;4;870;582;14464
"2013/Mai";-;602;1081;112;1260;4538;830;263;190;936;318;1923;449;425;61;118;3;882;584;14575
"2013/Jun";-;608;1085;120;1265;4562;843;263;189;943;324;1934;446;423;61;119;3;888;590;14666
"2013/Jul";-;615;298;125;1287;4579;852;264;187;917;327;1945;435;423;62;118;3;895;589;13921
"2013/Ago";-;621;300;121;1299;4606;866;267;190;940;331;1951;434;430;64;118;2;904;596;14040
"2013/Set";-;620;303;123;1320;4645;880;270;196;925;334;1957;435;429;64;117;2;903;596;14119
"2013/Out";-;634;317;126;1344;4726;896;272;199;928;351;1959;436;437;64;118;2;910;605;14324
"2013/Nov";-;639;322;129;1343;4738;903;276;199;986;354;1968;437;440;64;121;2;913;610;14444
"2013/Dez";-;646;321;127;1344;4751;912;279;202;1064;357;1982;437;445;67;121;2;920;611;14588
"2014/Jan";-;650;325;128;1353;4761;912;283;209;1113;358;1974;433;452;67;124;2;919;613;14676
"2014/Fev";-;651;327;127;1343;4775;916;282;210;1125;365;1979;430;454;67;125;2;925;618;14721
"2014/Mar";-;649;327;126;1345;4831;924;282;213;1187;372;1991;431;457;64;126;2;935;620;14882
"2014/Abr";-;651;331;126;1348;4849;929;284;208;1215;373;1996;429;459;62;129;2;935;628;14954
"2014/Mai";-;660;341;128;1360;4893;935;290;212;1240;386;1993;426;467;65;131;2;941;628;15098
"2014/Jun";-;664;344;129;1373;4915;944;289;211;1275;381;1999;424;467;62;132;2;953;628;15192
"2014/Jul";-;671;351;130;1383;4965;946;287;216;1297;381;2003;418;468;63;132;2;967;632;15312
"2014/Ago";-;671;354;133;1400;4990;958;288;215;1299;383;2008;420;468;62;132;2;974;638;15395
"2014/Set";-;676;360;138;1407;5025;963;288;213;1307;384;2024;420;474;62;130;2;976;647;15496
"2014/Out";-;681;361;135;1424;5055;969;287;214;1306;388;2033;418;475;62;132;2;967;642;15551
"2014/Nov";-;689;367;140;1432;5102;993;289;213;1299;400;2039;423;481;61;133;2;984;648;15695
"2014/Dez";-;695;368;138;1434;5116;998;291;213;1293;404;2037;422;483;61;132;2;989;647;15723
"2015/Jan";-;702;373;137;1425;5158;1020;298;217;1278;413;2046;426;493;61;134;1;987;645;15814
"2015/Fev";-;696;372;140;1429;5169;1002;296;215;1300;417;2053;427;490;60;138;1;980;643;15828
"2015/Mar";-;696;374;143;1424;5182;1004;304;220;1305;428;2067;429;495;65;140;2;984;652;15914
"2015/Abr";-;703;374;150;1422;5200;1022;303;222;1303;437;2072;434;504;65;140;2;985;659;15997
"2015/Mai";-;714;384;148;1443;5218;1038;308;228;1297;435;2077;435;510;66;143;2;999;668;16113
"2015/Jun";-;716;386;145;1439;5239;1050;308;228;1313;443;2078;431;509;68;146;1;1005;668;16173
"2015/Jul";-;725;399;146;1459;5284;1060;312;229;1322;451;2067;426;516;68;145;1;1018;670;16298
"2015/Ago";-;730;405;151;1459;5303;1071;313;229;1328;456;2075;430;516;68;146;1;1017;676;16374
"2015/Set";-;708;396;147;1437;5240;1072;315;221;1307;455;2084;404;509;70;142;1;999;680;16187
"2015/Out";-;712;396;149;1454;5304;1083;313;214;1295;460;2092;402;511;71;142;1;997;680;16276
"2015/Nov";-;748;411;155;1473;5481;1106;315;224;1261;477;2084;423;521;71;149;1;1013;683;16596
"2015/Dez";-;747;412;157;1498;5482;1096;314;227;1246;480;2084;424;514;69;153;1;1015;680;16599
"2016/Jan";-;751;415;158;1500;5480;1097;314;230;1251;486;2088;418;517;71;157;1;1015;679;16628
"2016/Fev";-;765;421;159;1498;5552;1107;319;228;1266;496;2108;423;525;73;154;1;1015;688;16798
"2016/Mar";-;774;421;157;1493;5615;1118;321;224;1256;506;2112;423;539;74;156;1;1020;692;16902
"2016/Abr";-;782;426;153;1488;5684;1128;330;225;1232;511;2119;422;548;73;159;1;1029;684;16994
"2016/Mai";-;787;425;150;1524;5720;1134;330;225;1215;513;2128;423;544;72;160;1;1034;694;17079
"2016/Jun";-;792;431;157;1521;5758;1134;335;223;1235;523;2143;426;549;73;163;1;1040;697;17201
"2016/Jul";-;803;435;157;1519;5785;1147;339;220;1244;525;2147;425;551;74;166;1;1054;694;17286
"2016/Ago";-;811;437;157;1517;5790;1167;344;223;1270;526;2141;426;558;74;168;1;1058;695;17363
"2016/Set";-;827;443;156;1550;5856;1180;349;222;1251;538;2141;434;568;75;169;1;1067;697;17524
"2016/Out";-;829;447;158;1544;5839;1188;356;224;1236;541;2127;434;568;74;167;1;1066;701;17500
"2016/Nov";-;836;450;160;1539;5832;1191;357;227;1217;540;2120;437;576;74;165;1;1075;698;17495
"2016/Dez";-;845;458;159;1534;5809;1188;357;229;1237;545;2107;436;579;75;164;1;1074;701;17498
"2017/Jan";-;856;465;152;1534;5844;1199;355;229;1277;540;2145;441;592;75;162;2;1077;704;17649
"2017/Fev";-;863;461;151;1517;5877;1209;358;231;1276;554;2161;436;590;79;164;2;1086;713;17728
"2017/Mar";-;876;472;158;1530;5971;1216;364;236;1257;570;2175;440;594;77;160;2;1104;711;17913
"2017/Abr";-;887;479;162;1537;6004;1230;371;237;1282;587;2196;446;609;78;164;2;1118;725;18114
"2017/Mai";-;915;491;165;1547;6073;1259;372;242;1276;595;2215;440;613;79;172;2;1133;735;18324
"2017/Jun";-;932;497;163;1535;6137;1274;380;245;1274;605;2234;446;626;80;172;2;1177;738;18517
"2017/Jul";-;942;505;161;1553;6199;1284;382;246;1295;619;2248;452;638;78;177;2;1213;739;18733
"2017/Ago";-;955;515;170;1562;6213;1294;391;247;1281;629;2274;447;651;78;176;2;1223;754;18862
"2017/Set";-;963;526;174;1569;6254;1308;391;250;1274;633;2285;443;664;81;181;2;1231;760;18989
"2017/Out";-;966;524;176;1577;6253;1327;398;251;1294;648;2308;451;672;81;182;2;1223;774;19107
"2017/Nov";-;983;546;180;1604;6374;1348;405;250;1286;662;2319;458;690;81;188;2;1237;777;19390
"2017/Dez";-;991;555;180;1601;6424;1354;405;251;1285;668;2312;467;696;83;193;2;1236;785;19488
"2018/Jan";-;997;568;178;1615;6494;1362;407;256;1286;676;2358;470;701;85;199;2;1244;789;19687
"2018/Fev";-;997;575;177;1605;6519;1365;409;252;1267;693;2368;477;710;85;196;2;1261;801;19759
"2018/Mar";-;998;570;174;1600;6541;1367;410;257;1276;706;2374;469;714;84;199;2;1283;808;19832
"2018/Abr";-;1003;575;176;1581;6655;1377;416;254;1271;704;2371;466;721;81;198;2;1293;813;19957
"2018/Mai";-;1004;569;178;1584;6662;1381;417;257;1267;708;2375;467;721;81;200;2;1310;818;20001
"2018/Jun";-;1016;576;174;1601;6717;1397;415;257;1265;721;2379;466;728;81;203;2;1325;823;20146
"2018/Jul";-;1027;586;175;1601;6802;1406;418;257;1284;732;2401;471;745;82;207;2;1335;824;20355
"2018/Ago";-;1043;598;173;1635;6912;1427;423;254;1273;741;2423;477;763;82;204;2;1338;834;20602
"2018/Set";-;1065;605;172;1603;6970;1449;431;259;1273;760;2427;470;773;80;205;2;1360;830;20734
"2018/Out";-;1072;615;170;1611;7004;1454;430;261;1258;766;2426;466;781;81;205;2;1363;836;20801
"2018/Nov";-;1079;614;173;1609;7023;1453;427;259;1195;770;2432;463;785;81;207;2;1366;843;20781
"2018/Dez";-;1087;612;168;1597;7062;1451;425;262;1003;770;2426;463;784;82;208;2;1365;844;20611
"2019/Jan";-;1096;635;170;1612;7094;1466;427;261;996;776;2435;466;783;80;210;2;1372;847;20728
"2019/Fev";-;1098;643;167;1615;7091;1470;432;260;992;789;2456;462;787;84;209;2;1379;841;20777
"2019/Mar";-;1096;648;161;1627;7140;1468;438;265;1000;789;2459;458;791;89;210;2;1378;834;20853
"2019/Abr";-;1099;650;162;1623;7195;1471;439;264;1063;789;2462;458;799;92;207;2;1390;844;21009
"2019/Mai";-;1097;651;165;1629;7275;1480;440;266;1084;803;2487;461;798;89;211;2;1451;850;21239
"2019/Jun";-;1096;652;167;1633;7304;1481;436;268;1103;806;2498;456;803;90;212;2;1462;858;21327
"2019/Jul";-;1106;651;170;1606;7340;1485;434;271;1146;813;2493;454;810;88;210;2;1474;867;21420
"2019/Ago";-;1111;654;173;1574;7373;1503;440;273;1135;813;2513;461;819;91;215;2;1490;867;21507
"2019/Set";-;1112;657;181;1600;7458;1522;439;276;1138;823;2527;465;840;91;220;2;1505;848;21704
"2019/Out";-;1116;659;192;1606;7473;1531;443;278;1138;828;2544;464;838;92;225;2;1503;841;21773
"2019/Nov";-;1126;658;195;1621;7495;1538;445;276;1140;830;2563;466;838;91;227;2;1507;845;21863
"2019/Dez";-;1126;656;195;1616;7505;1531;450;276;1168;835;2565;470;835;92;229;2;1513;843;21907
"2020/Jan";-;1118;659;197;1641;7577;1537;450;284;1184;828;2591;473;825;93;233;2;1520;846;22058
"2020/Fev";-;1119;663;199;1652;7606;1541;447;284;1158;831;2594;473;838;95;234;2;1523;856;22115
"2020/Mar";-;1123;658;202;1642;7668;1544;448;283;1146;828;2612;475;842;95;238;2;1534;858;22198
"2020/Abr";-;1139;674;200;1628;7785;1571;448;284;1189;839;2623;477;856;93;237;2;1594;864;22503
"2020/Mai";-;1147;682;196;1722;7932;1586;439;288;1185;839;2574;470;843;92;232;1;1566;862;22656
"2020/Jun";-;1164;710;194;1797;8087;1633;438;286;1141;847;2586;475;848;92;231;1;1565;872;22967
"2020/Jul";-;1176;725;194;1859;8259;1698;449;287;1123;873;2648;484;879;88;231;2;1600;885;23460
"2020/Ago";-;1179;739;185;1867;8337;1736;458;286;1145;881;2690;480;888;89;234;2;1608;887;23691
"2020/Set";-;1186;743;181;1869;8438;1739;458;282;1156;894;2693;479;891;90;235;2;1610;893;23839
"2020/Out";-;1204;765;181;1867;8492;1769;462;284;1166;907;2703;484;907;93;239;1;1626;899;24049
"2020/Nov";-;1207;776;181;1870;8470;1768;459;285;1172;903;2690;483;905;95;238;1;1637;897;24037
"2020/Dez";-;1198;769;188;1850;8344;1756;448;286;1149;885;2642;483;895;97;239;1;1637;885;23752
"2021/Jan";-;1202;760;181;1844;8414;1740;449;291;1148;886;2668;485;893;95;245;1;1640;867;23809
"2021/Fev";-;1208;772;175;1855;8544;1735;449;287;1151;901;2725;484;895;96;248;2;1689;866;24082
"2021/Mar";-;1225;796;177;1916;8665;1791;460;289;1173;921;2744;485;917;97;253;2;1645;886;24442
"2021/Abr";-;1250;814;176;1951;8745;1833;463;286;1171;946;2771;492;934;99;250;2;1652;888;24723
"2021/Mai";-;1272;835;174;1980;8833;1894;474;285;1171;966;2766;490;937;100;256;2;1671;887;24993
"2021/Jun";-;1298;858;173;1982;8905;1924;481;294;1149;988;2776;488;956;96;257;2;1762;902;25291
"2021/Jul";-;1307;872;167;1998;8990;1949;485;300;1162;993;2829;484;971;100;258;2;1761;904;25532
"2021/Ago";-;1306;880;169;2016;9067;1974;490;304;1192;1001;2848;482;987;101;258;2;1767;911;25755
"2021/Set";-;1323;891;171;2021;9134;2000;495;304;1217;1020;2867;481;1000;103;261;2;1775;915;25980
"2021/Out";-;1334;893;168;2043;9173;2017;496;301;1236;1026;2878;486;1007;104;261;1;1780;916;26120
"2021/Nov";-;1344;906;171;2071;9224;2029;496;301;1244;1025;2877;486;1011;107;266;2;1784;942;26286
"2021/Dez";-;1345;914;172;2065;9289;2049;511;303;1249;1033;2885;485;1031;108;268;2;1784;967;26460
"2022/Jan";-;1354;937;172;2096;9293;2071;513;299;1258;1041;2902;484;1063;109;270;2;1791;969;26624
"2022/Fev";-;1369;952;172;2095;9351;2098;527;299;1241;1055;2918;493;1085;112;271;2;1803;983;26826
"2022/Mar";-;1381;960;173;2122;9456;2123;532;309;1228;1071;2925;487;1103;109;273;2;1850;989;27093
"2022/Abr";-;1386;975;177;2105;9509;2149;539;309;1227;1097;2946;487;1129;116;274;2;1864;1000;27291
"2022/Mai";-;1401;992;175;2109;9592;2166;541;310;1228;1103;2950;492;1144;115;280;2;1876;1010;27486
"2022/Jun";-;1396;1013;176;2107;9605;2163;549;315;1255;1113;2940;495;1164;114;281;2;1878;1024;27590
"2022/Jul";-;1409;1020;180;2100;9652;2170;557;314;1265;1111;2957;494;1149;118;279;2;1880;1024;27681
"2022/Ago";-;1431;1044;185;2136;9811;2206;568;317;1235;1128;2974;496;1184;119;283;2;1880;1046;28045
"2022/Set";-;1447;1056;187;2143;9846;2229;574;316;1233;1136;2991;499;1207;120;283;2;1891;1069;28229
"2022/Out";-;1454;1085;190;2180;9925;2254;578;319;1243;1145;2998;504;1210;118;286;2;1904;1081;28476
"2022/Nov";-;1457;1096;188;2199;9964;2266;576;317;1269;1152;3001;506;1214;121;286;2;1901;1077;28592
"2022/Dez";-;1473;1099;187;2217;10001;2275;578;321;1261;1155;3004;513;1225;122;284;2;1902;1090;28709
"2023/Jan";-;1490;1102;189;2243;10038;2294;585;319;1280;1152;3007;512;1240;122;284;2;1906;1100;28865
"2023/Fev";-;1490;1112;190;2204;10107;2308;586;320;1285;1159;3014;511;1245;126;286;2;1992;1109;29046
"2023/Mar";-;1511;1130;190;2245;10136;2347;591;320;1262;1164;3034;513;1284;130;288;2;2008;1133;29288
"2023/Abr";-;1521;1145;190;2237;10296;2373;591;322;1251;1174;3067;520;1298;133;290;2;2019;1144;29573
"2023/Mai";-;1550;1153;195;2268;10618;2403;599;328;1235;1183;3085;520;1328;135;287;2;1984;1158;30031
"2023/Jun";-;1583;1177;198;2285;10982;2452;603;336;1283;1224;3126;524;1359;134;288;3;1991;1179;30727
"2023/Jul";-;1584;1188;197;2327;11064;2470;601;334;1289;1232;3155;523;1372;132;290;3;1988;1186;30935
"2023/Ago";-;1595;1222;196;2327;11533;2503;602;336;1285;1237;3193;522;1392;131;289;3;1984;1202;31552
"2023/Set";-;1594;1240;195;2338;11722;2519;607;336;1308;1240;3215;521;1402;129;289;3;1988;1205;31851
"2023/Out";-;1594;1271;194;2345;11840;2527;614;332;1315;1248;3240;518;1416;127;288;3;1995;1207;32074
"2023/Nov";-;1601;1341;193;2363;11917;2535;609;332;1350;1254;3263;520;1429;128;287;3;1996;1212;32333
"2023/Dez";-;1601;1375;192;2348;11947;2537;607;337;1407;1254;3279;522;1436;130;289;3;2002;1216;32482
"2024/Jan";-;1619;1381;192;2376;12081;2543;609;343;1447;1272;3294;515;1460;131;294;3;2013;1224;32797
"2024/Fev";-;1620;1380;195;2379;12150;2580;609;345;1436;1272;3319;515;1477;134;300;3;2036;1225;32975
"2024/Mar";-;1621;1417;195;2421;12312;2621;618;347;1423;1295;3352;515;1498;139;301;3;2066;1241;33385
"2024/Abr";-;1647;1447;193;2441;12476;2670;628;351;1435;1334;3370;514;1553;141;300;3;2077;1279;33859
"2024/Mai";-;1663;1459;192;2472;12597;2697;635;347;1419;1343;3399;514;1587;141;303;3;2083;1280;34134
"2024/Jun";-;1681;1460;196;2513;12650;2746;639;346;1435;1357;3429;515;1622;144;302;3;2090;1294;34422
"2024/Jul";-;1692;1492;197;2544;12778;2787;638;349;1452;1389;3436;521;1651;145;305;3;2100;1305;34784
"2024/Ago";-;1694;1497;196;2587;12819;2796;641;353;1454;1386;3459;519;1668;147;305;3;2105;1322;34951
"2024/Set";-;1711;1528;196;2592;12884;2806;643;355;1448;1399;3473;516;1687;147;308;3;2118;1335;35149
"2024/Out";-;1723;1533;192;2581;12885;2813;647;354;1464;1402;3466;514;1688;145;306;3;2127;1337;35180
"2024/Nov";-;1722;1536;193;2567;12864;2806;648;359;1462;1409;3466;517;1695;145;308;3;2129;1339;35168
"2024/Dez";-;1723;1531;195;2569;12825;2814;647;358;1470;1401;3442;517;1697;145;312;3;2134;1341;35124
"2025/Jan";-;1724;1557;203;2664;12895;2818;646;360;1497;1411;3454;518;1738;144;320;3;2148;1335;35435
"2025/Fev";-;1725;1566;208;2673;13018;2853;646;359;1509;1410;3517;519;1744;148;317;3;2164;1329;35708
"2025/Mar";-;1755;1581;213;2699;13190;2890;653;363;1508;1443;3559;523;1780;145;315;3;2194;1336;36150
"2025/Abr";-;1761;1594;213;2725;13315;2945;654;364;1480;1456;3600;521;1841;145;315;3;2225;1353;36510
"2025/Mai";-;1761;1595;211;2740;13335;2960;658;362;1473;1459;3607;529;1870;143;322;3;2254;1384;36666
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
